,Title,Genre,Rating,Description,Director,Votes,Gross,Weather,Season
7035,"Veni, vidi, vici","Comedy, Drama, Romance",3.1,"A young boy named Honza is a bad student, but becomes a promising golfer and experiences the sweet life in the spotlight. But he almost loses not only his girl but also himself in the process.",Jirí Chlumský,89,0,Thunderstorm,Spring
7036,América,"Comedy, Drama",6.2,"America a tragic story told in a burlesque and ironic way, within a love triangle. Liza, a beautiful young Russian woman, is married to Victor, a small-time crook who lives on scheming and ...                See full summary »",João Nuno Pinto,222,0,Thunderstorm,Summer
7037,The Goblin,"Fantasy, Horror, Thriller",4.7,A boy imprisoned by an abusive recluse mother alone in a mansion in the 1920s begins to get ideas of his own when a goblin in his closet comforts him in the dark.,Wyatt Michael,64,0,Thunderstorm,Summer
7038,Sea Raiders,"Action, Adventure, Crime",5.9,"The Dead End Kids go after a gang known as the Sea Raiders, which is sinking Allied shipping.",Ford Beebe,72,0,Thunderstorm,Summer
7039,Vagabond Lady,"Comedy, Romance, Drama",5.9,"Josephine Spiggins is thinking of marrying John Spear, the stuffed-shirt son of a department store owner. When John's free-spirit brother Tony returns from touring the South Seas in his ...                See full summary »",Sam Taylor,180,0,Thunderstorm,Summer
7040,Dulcy,"Adventure, Comedy, Romance",6.1,A dizzy young woman aranges to turn her inventor-boyfriend's vacation into a chance meeting with a possible investor who happens to be her brother's future father-in-law. And Wacky stuff happens.,S. Sylvan Simon,324,0,Thunderstorm,Spring
7041,The Bird & The Whale,"Animation, Short",6.7,"A baby whale separated from his family discovers a caged bird, the sole survivor of a shipwreck. Together they struggle to survive, lost at sea. Written and directed by Carol Freeman, 'The ...                See full summary »",Carol Freeman,310,0,Thunderstorm,Summer
7042,Ocean Emergency: Currents of Hope,Documentary,6.3,The hosts go around the globe to share a look at the state of emergency of our oceans and provide tips on how viewers can help mitigate this worldwide issue.,Dean Cain,26,0,Thunderstorm,Summer
7043,Nancy Drew: Tomb of the Lost Queen,"Adventure, Mystery, Romance",7.2,Teen detective Nancy Drew joins a team of archaeologists and explores the mysteries of an ancient Egyptian tomb.,Tim Burke,42,0,Thunderstorm,Summer
7044,Le tempestaire,"Short, Drama, Fantasy",7.1,"In a village in Brittany, a young maid and an old woman are spinning while the wind blows threateningly outdoors. In spite of the bad omen, the young maid's boyfriend decides to sail away. ...                See full summary »",Jean Epstein,717,0,Thunderstorm,Summer
7045,Mai + come prima,Drama,6.2,"Four boys and two girls who have just graduated from high school vacation together in the heart-stopping Dolomite mountains. On a dramatic climbing expedition up a mystic peak, they ...                See full summary »",Giacomo Campiotti,191,0,Thunderstorm,Spring
7046,Silent Storm,"Documentary, History",8.2,"In 2001 tons of ashed human bones were found in Melbourne, contaminated by Strontium 90, a toxic residue of nuclear weapon tests in Australia and around the world.",Peter Butt,19,0,Thunderstorm,Spring
7047,Muzzikanti,"Comedy, Music, Romance",4.2,"Robin Svátek is a young rock guitarist who is trying to break through with his band and finally earn money from his music. He and his band gave themselves a one-year deadline and now, even ...                See full summary »",Dusan Rapos,76,0,Thunderstorm,Spring
7048,Frankenstein: Birth of a Monster,Drama,7.2,"A drama telling the story of the life of the writer of Frankenstein. Telling of her influences, her writing and her personal life.",Mary Downes,38,0,Thunderstorm,Summer
7049,The Red Lily,Drama,7.2,Two young lovers escape their past lives to Paris until fate separates them.,Fred Niblo,485,0,Thunderstorm,Summer
7050,Tweet and Lovely,"Animation, Family, Short",7.1,"Sylvester Cat's new hang-out is an inventor's lab, which is near Tweety Bird's house atop a pole. Guarding Tweety's house is a bulldog named Spike. Sylvester invents all kinds of ...                See full summary »",Friz Freleng,236,0,Thunderstorm,Summer
7051,Crockett-Doodle-Do,"Family, Animation, Short",7.4,Foghorn Leghorn decides to take an egghead genius chick out to the woods to distract him from his long-haired atomic science books and teach him about such practical things as scouting and ...                See full summary »,Robert McKimson,406,0,Thunderstorm,Summer
7052,Paddle to Seattle: Journey Through the Inside Passage,"Documentary, Adventure, Comedy",7.1,"Two best friends build their own kayaks and paddle alone for 97 days in the wilderness over 1,300 miles from Alaska to Seattle and survive to talk about most things.",J.J. Kelley,138,0,Thunderstorm,Spring
7053,Otôsan to Itô-san,"Comedy, Drama",6.7,He is rejected by his sister when the brother floats the idea that their father move from his house to her apartment. The father has other ideas however and shows up unannounced at her ...                See full summary »,Yuki Tanada,201,0,Thunderstorm,Spring
7054,Echo Mountain,"Short, Music, Musical",5.5,"The opening card explains the film. Overlaying a map of Switzerland, the words ""For centuries people have climbed the trails to Echo Mountain to be thrilled by nature's magic - the answering echoes of their own voices.""",Ralph Staub,56,0,Thunderstorm,Spring
7055,Across to Singapore,"Crime, Drama, Romance",6.2,Conflict ensues when a young man's childhood sweetheart becomes betrothed to his older brother.,William Nigh,1168,0,Thunderstorm,Spring
7056,Sky Raiders,"Action, Adventure, Drama",6.3,Enemy spies try to steal a new fighter plane.,Ford Beebe,209,0,Thunderstorm,Summer
7057,The Revolutionary,"Biography, Drama",4.8,"This fast-paced film on Jesus, made in high definition technology, shows his life and teaching in a way that arrests the attention of audiences.",Robert Marcarelli,108,0,Thunderstorm,Summer
7058,Witness: Joplin Tornado,Documentary,7.6,"Witness: Joplin Tornado is a closer look at the Joplin Tornado of 2011, the most costliest tornado of all time and most deadliest tornado since 1950. The documentary contains archival sources from witnesses and storm chasers.",Denny Heide,15,0,Thunderstorm,Spring
7059,Orishas: The Hidden Pantheon,"Action, Adventure, Sci-Fi",6.6,A group of people with different backgrounds and behaviors discover their belonging to a hidden civilization of deities called Orishas.,Yann Kieffoloh Jr.,16,0,Thunderstorm,Summer
7060,Reunion,"Action, Horror, Mystery",5.7,"An unstable mental patient goes on an overnight rampage to terrorize an ex-rock star and his friends, only to discover she is linked to him in mysterious ways.",Shawn Chou,20,0,Thunderstorm,Summer
7061,Klondike,"Adventure, Drama",5.4,"Dr. Robert Cromwell performs a delicate operation that has never been done before, and the patient dies. He is charged with malpractice and manslaughter and his trial is national news, but ...                See full summary »",Phil Rosen,140,0,Thunderstorm,Summer
7062,The Anchorage,Drama,6.6,"Ulla lives alone on a rugged forest island in the Stockholm Archipelago. Three days pass. ""The wind bloweth where it listeth.""",Anders Edström,62,0,Thunderstorm,Summer
7063,Trudnosti vyzhivaniya,"Comedy, Drama, Romance",3.6,"Aspiring journalist Nina, in pursuit of a sensation, goes to a desert island, where, according to rumors, a reclusive millionaire lives. The boat with the film crew gets into a terrible ...                See full summary »",Evgeniy Nevskiy,57,0,Thunderstorm,Spring
7064,Weiße Wolke Carolin,"Adventure, Drama, Family",7.1,"At age 12, Hannes and Carolin fall in love comparing this to a cloud. Unfortunately their parents have differing opinions of their relationship, which causes a breakup. But there are more 'fish in the sea,' as these two soon find out.",Rolf Losansky,42,0,Thunderstorm,Spring
7065,Pedro,"Family, Animation, Short",6.3,"In a little airport near Santiago, Chile, live three airplanes, a papa plane, which carries mail over the Andes between Chile and Argentina, a mama plane, and a baby plane, Pedro. Pedro ...                See full summary »",Hamilton Luske,244,0,Thunderstorm,Spring
7066,An Evening with My Comatose Mother,"Short, Horror, Mystery",7.2,"When Dorothy is invited over to the Poe's on Halloween night, no one ever told her about their decomposing, comatose mother living in the upstairs bedroom. She'll wish somebody had when the storm hits, and Mother wakes up.",Jonathan Martin,261,0,Thunderstorm,Summer
7067,Nyuszi és Öz,"Animation, Short, Adventure",8.3,The friendship of Rabbit and Deer is put to the test by Deer's new obsession to find the formula for the 3rd dimension...,Péter Vácz,1213,0,Thunderstorm,Spring
7068,The Women in His Life,"Crime, Drama, Romance",6.4,"A brilliant, successful criminal defense attorney's life is turned upside down when he takes on a case of a murdered woman who turns out to be an old flame who left him 10 years ago.",George B. Seitz,206,0,Thunderstorm,Spring
7069,Biyaya ng lupa,Drama,7.1,"A young married couple, Maria and Jose (Rosa Rosal and Tony Santos) start life together creating a lanzones orchard in the countryside. They have four children - Miguel (Leroy Salvador), ...                See full summary »",Manuel Silos,105,0,Thunderstorm,Spring
7070,The Emissary: A Biblical Epic,Drama,6.7,This drama follows Saul the angry zealot to Paul the servant of Christ who will pay any price to bring his message to the world.,Robert Marcarelli,86,0,Thunderstorm,Spring
7071,Zenská na vrcholu,"Comedy, Romance",4.3,"When natural elements turn Christmas vacation into involuntary prison at an mountain hut and the children decide to take their parent's fate into their own hands, a romantic comedy can start.",Lenka Kny,141,0,Thunderstorm,Spring
7072,Svet nic neví,Drama,6.8,The story takes place in the Czech-German border region in 1938. The hero Tomás Jakl marries but the marriage is not very lucky and falls apart. His German friend forced him to enter the Nazi party.,Jirí Svoboda,20,0,Thunderstorm,Summer
7073,Six Hours: Surviving Typhoon Yolanda,"Documentary, Drama, History",7.6,"In the middle of a broadcast about Typhoon Yolanda's initial impact, reporter Jiggy Manicad was faced with the reality that he no longer had communication with his station. They were, for ...                See full summary »",J. Lazarus Auerbach,26,0,Thunderstorm,Spring
7074,"Aila, Pohjolan tytär","Drama, Romance",5.8,Add a Plot,Jack Witikka,31,0,Thunderstorm,Summer
7075,Ohnivé léto,"Drama, Romance",6.4,"This romantic story turns on a stirring infatuation that takes hold of three young people under the influence of Simon, a Prague student. After the study year, 18 year-old Julio returns to ...                See full summary »",Frantisek Cáp,33,0,Thunderstorm,Spring
7076,North Sea,"Drama, Documentary, Short",6.0,A dramatic reconstruction of the fishing trawler 'John Gillman' in trouble in a storm.,Harry Watt,150,0,Thunderstorm,Summer
7077,Call of the Yukon,"Action, Adventure, Drama",5.3,A fur trader guides a writer and her animals to safety in the Yukon territory when wolves are about to attack.,B. Reeves Eason,148,0,Thunderstorm,Summer
7078,Paradise,"Animation, Short, Comedy",7.1,"In this short animation film, a magnificent bird performs for the Emperor inside a glittering palace. Its plumage is a blaze of colour. A blackbird, watching enviously, strives to acquire ...                See full summary »",Ishu Patel,320,0,Thunderstorm,Summer
7079,La demoiselle et le violoncelliste,"Short, Animation",5.7,"A cellist attempts to rescue a woman swept out to sea, only to find he must battle a series of overly possesive sea creatures.",Jean-François Laguionie,226,0,Thunderstorm,Spring
7080,The Go-Getter,"Comedy, Music, Romance",6.4,"Billy Austin served on the crew of the USN airship Macon until it crashed at sea during a storm. In the hospital, the captain has given him a watch with the motto of the crew 'It Shall Be ...                See full summary »",Busby Berkeley,237,0,Thunderstorm,Spring
