,Title,Genre,Rating,Description,Director,Votes,Gross,Weather
1456,Jenny's Wedding,"Comedy, Drama, Romance",5.6,"Jenny's parents and siblings are always trying to set her up with a man when she visits them. What they don't know is that she's already met the right person, her ""roommate"" Kitty, 5 years ago and she wants to marry her and start a family.",Mary Agnes Donoghue,11598,$0.00M,Rain
1457,The Last Face,"Drama, Romance, War",4.9,"In the midst of African social horror, a love between two volunteers fades out and is reborn.",Sean Penn,5314,,Rain
1458,Ride with the Devil,"Drama, Romance, War",6.7,"During the American Civil War, two friends join the Bushwhackers, a militant group loyal to the Confederacy.",Ang Lee,14155,$0.63M,Rain
1459,Firewall,"Action, Crime, Thriller",5.8,"A security specialist is forced into robbing the bank that he's protecting, as a bid to pay off his family's ransom.",Richard Loncraine,58686,$48.75M,Rain
1460,Flashpoint,"Action, Crime, Drama",6.4,"Two U.S. border patrolmen find a buried 20+ year old jeep in the desert with a skeleton, rifle and $800,000. They keep the money. Suddenly, the FBI shows a lot of interest in the car.",William Tannen,2863,$3.85M,Rain
1461,Al final del túnel,"Crime, Drama, Thriller",7.0,A paraplegic computer engineer in a wheelchair starts hearing noises and voices of bank robbers in his basement.,Rodrigo Grande,14856,,Rain
1462,The Americanization of Emily,"Comedy, Drama, Romance",7.3,An American Naval Officer's talent for living the good life in wartime is challenged when he falls in love and is sent on a dangerous mission.,Arthur Hiller,5413,,Rain
1463,Go-ji-jeon,"Action, Drama, History",7.3,A drama centered on the Korean War's final battle that will determine the border between north and south.,Hun Jang,6810,$0.01M,Rain
1464,The Old Dark House,"Adventure, Comedy, Drama",7.0,"Seeking shelter from a storm, five travelers are in for a bizarre and terrifying night when they stumble upon the Femm family estate.",James Whale,11962,$0.03M,Rain
1465,Another Year,"Comedy, Drama",7.4,A look at four seasons in the lives of a happily married couple and their relationships with their family and friends.,Mike Leigh,30196,$3.21M,Rain
1466,Ondine,"Drama, Mystery, Romance",6.8,An Irish fisherman discovers a woman in his fishing net whom his precocious daughter believes to be a selkie.,Neil Jordan,22068,$0.55M,Rain
1467,Matrimonio all'italiana,"Comedy, Drama, Romance",7.4,Wealthy businessman Domenico and penniless prostitute Filumena share a large part of their lives in post-WWII Italy.,Vittorio De Sica,10469,,Rain
1468,Maximum Risk,"Action, Thriller",5.5,"While seeking answers regarding the death of the twin brother he never knew he had, a French cop and his sibling's fiancée find themselves pursued by corrupt FBI agents and the Russian mafia.",Ringo Lam,23034,$14.50M,Rain
1469,Angst essen Seele auf,"Drama, Romance",8.0,"A lonely widow meets a much younger Moroccan worker in a bar during a rainstorm. They fall in love, to their own surprise and to the outright shock of their families, colleagues, and drinking buddies.",Rainer Werner Fassbinder,22633,,Rain
1470,Rocco e i suoi fratelli,"Crime, Drama, Sport",8.2,"Having recently been uprooted to Milan, Rocco and his four brothers each look for a new way in life when a prostitute comes between Rocco and his brother Simone.",Luchino Visconti,19964,,Rain
1471,Elegy,"Drama, Romance",6.7,"Cultural critic, David Kepesh, finds his life, which he indicates is a state of ""emancipated manhood,"" thrown into tragic disarray by Consuela Castillo, a well-mannered student who awakens a sense of sexual possessiveness in her teacher.",Isabel Coixet,22880,$3.58M,Rain
1472,Kristy,"Horror, Thriller",5.9,"When a college girl who is alone on campus over the Thanksgiving break is targeted by a group of outcasts, she must conquer her deepest fears to outwit them and fight back.",Olly Blackburn,8737,,Rain
1473,Pushover,"Crime, Drama, Film-Noir",7.1,"An undercover police officer falls for the beautiful moll of a bank robber on the run, and together they plan to double-cross the hood and the cops.",Richard Quine,3534,,Rain
1474,Pirates,"Action, Adventure, Comedy",6.0,The adventures of pirate Captain Red and his first mate Frog.,Roman Polanski,9087,$1.64M,Rain
1475,El robo del siglo,"Action, Biography, Comedy",7.1,"In 2006, a group of thieves performed what is considered one of the most famous and smart bank heists in the history of Argentina when they rob the Banco Río branch in Acassuso.",Ariel Winograd,9171,,Rain
1476,Final Analysis,"Drama, Thriller",5.9,"A psychiatrist becomes romantically involved with the sister of one of his patients, but the influence of her controlling gangster husband threatens to destroy them both.",Phil Joanou,14801,$28.59M,Rain
1477,Fort Apache the Bronx,"Crime, Drama",6.7,"In New York City, South Bronx's main police precinct is nicknamed Fort Apache by its employees who feel like troopers surrounded by hostiles in a wild west isolated outpost.",Daniel Petrie,6617,$29.20M,Rain
1478,Ninja,"Action, Thriller",5.5,"A westerner named Casey, studying Ninjutsu in Japan, is asked by the Sensei to return to New York to protect the legendary Yoroi Bitsu, an armored chest that contains the weapons of the last Koga Ninja.",Isaac Florentine,13591,,Rain
1479,The Blue Lagoon,"Adventure, Drama, Romance",6.4,"In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific and fall in love while growing up together.",Frank Launder,606,,Rain
1480,Gôruden taimu,"Animation, Comedy, Drama",7.6,"Banri Tada is a freshman at a Tokyo law school. After an accident, he suffers severe memory loss. Despite the incident, he befriends fellow freshman, Mitsuo Yanagisawa, which leads him to the beautiful, yet obsessive, Kouko Kaga.",Yui Horie,4097,,Rain
1481,Out in the Dark,"Crime, Drama, Romance",7.5,"A drama centered on the love affair between two men on opposite sides of the Mid-East conflict: Palestinian student Nimer and Roy, an Israeli lawyer.",Michael Mayer,8817,,Rain
1482,Honogurai mizu no soko kara,"Drama, Horror, Mystery",6.7,A mother and her 6 year old daughter move into a creepy apartment whose every surface is permeated by water.,Hideo Nakata,33595,,Rain
1483,Song for a Raggy Boy,"Drama, History",7.5,The true story of a single teacher's courage to stand up against an untouchable prefect's sadistic disciplinary regime and other abuse in a Catholic Reformatory and Industrial School in 1939 Ireland.,Aisling Walsh,4523,,Rain
1484,Ordinary Love,"Drama, Romance",6.6,An extraordinary look at the lives of a middle-aged couple in the midst of the wife's breast cancer diagnosis.,Lisa Barros D'Sa,4719,,Rain
1485,Traitor,"Action, Crime, Drama",6.9,"When straight arrow FBI agent Roy Clayton heads up the investigation into a dangerous international conspiracy, all clues seem to lead back to former U.S. Special Operations officer, Samir Horn.",Jeffrey Nachmanoff,58423,$23.53M,Rain
1486,J'ai perdu mon corps,"Animation, Drama, Fantasy",7.5,"A story of Naoufel, a young man who is in love with Gabrielle. In another part of town, a severed hand escapes from a dissection lab, determined to find its body again.",Jérémy Clapin,34709,,Rain
1487,Stage Fright,"Film-Noir, Mystery, Thriller",7.0,A struggling actress tries to help a friend prove his innocence after he's accused of murdering the husband of a high-society entertainer.,Alfred Hitchcock,15096,,Rain
1488,Rebel in the Rye,"Biography, Drama, Romance",6.7,"The life of celebrated but reclusive author, J.D. Salinger, who gained worldwide fame with the publication of his novel, ""The Catcher in the Rye"".",Danny Strong,10271,$0.38M,Rain
1489,American Outlaws,"Action, Western",5.9,5 Southern friends return home when the war ends 1865. But Yankee soldiers and Pinkerton are busy helping a railroad baron grab land from farmers along the planned railroad west. The 5 friends fight back.,Les Mayfield,16939,$13.26M,Rain
1490,OMG: Oh My God!,"Comedy, Drama, Fantasy",8.1,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,Umesh Shukla,60609,$0.92M,Rain
1491,The Ballad of Lefty Brown,"Action, Drama, Western",6.3,"A thrilling and action-packed Western, The Ballad of Lefty Brown is a story about loyalty, friendship, and the relentless pursuit of justice.",Jared Moshe,7119,$0.01M,Rain
1492,Nathalie...,Drama,6.3,A rich woman hires an elite prostitute in order to verify her husband's faithfulness. Before long the experiment gets out of control.,Anne Fontaine,4828,$0.02M,Rain
1493,The Private Lives of Pippa Lee,"Comedy, Drama, Romance",6.3,"After her much older husband forces a move to a suburban retirement community, Pippa Lee engages in a period of reflection and finds herself heading toward a quiet nervous breakdown.",Rebecca Miller,13913,,Rain
1494,Mirrormask,"Drama, Fantasy",6.7,"In a fantasy world of opposing kingdoms, a fifteen-year-old girl must find the fabled MirrorMask in order to save the kingdom and get home.",Dave McKean,23302,$0.86M,Rain
1495,Keeping Mum,"Comedy, Crime",6.8,"A pastor preoccupied with writing the perfect sermon fails to realize that his wife is having an affair, and his children are up to no good.",Niall Johnson,35335,$1.62M,Rain
1496,Bad Timing,"Drama, Mystery, Thriller",6.9,"A psychiatrist, living in Vienna, enters a torrid relationship with a married woman. When she ends up in the hospital from an overdose, an inspector becomes set on discovering the demise of their affair.",Nicolas Roeg,9259,,Rain
1497,Mio min Mio,"Adventure, Family, Fantasy",6.3,"A lonely boy who is transferred from his dull life with his adoptive parents to the land where his real father is the King. In that country, he sets out on a quest, together with his new friend, to destroy the evil Knight Kato.",Vladimir Grammatikov,5762,,Rain
1498,Evening,"Drama, Romance",6.4,"A drama exploring the romantic past and emotional present of Ann Lord (Vanessa Redgrave) and her daughters, Constance Haverford (Natasha Richardson) and Nina Mars (Toni Collette). As Ann lays dying, she remembers, and is moved to convey to her daughters, the defining moments in her life fifty years ago, when she was a young woman. Harris Arden (Patrick Wilson) is the man Ann loves in the 1950s ...                See full summary »",Lajos Koltai,13835,$12.41M,Rain
1499,10th & Wolf,"Crime, Drama, Thriller",6.3,"A former street tough returns to his Philadelphia home after a stint in the military. Back on his home turf, he once again finds himself tangling with the mob boss who was instrumental in his going off to be a soldier.",Bobby Moresco,6707,$0.05M,Rain
1500,Wild Rose,"Drama, Music",7.1,A troubled young Glaswegian woman dreams of becoming a Nashville country star.,Tom Harper,14548,$1.64M,Rain
1501,Seraphim Falls,"Action, Drama, Thriller",6.6,"After the end of the American Civil War, a former Confederate colonel hunts down a former Yankee officer with whom he has a grudge.",David Von Ancken,32692,$0.42M,Rain
1502,Au hasard Balthazar,Drama,7.8,The story of a mistreated donkey and the people around him. A study on saintliness and a sister piece to Bresson's Mouchette.,Robert Bresson,21522,$0.04M,Rain
1503,Veronica Guerin,"Biography, Crime, Drama",6.8,An Irish journalist writes a series of stories about drug dealers.,Joel Schumacher,21143,$1.57M,Rain
1504,Prime,"Comedy, Drama, Romance",6.2,"A career driven professional from Manhattan is wooed by a young painter, who also happens to be the son of her psychoanalyst.",Ben Younger,41537,$22.83M,Rain
1505,The Warrior's Way,"Action, Drama, Fantasy",6.2,A warrior-assassin is forced to hide in a small town in the American Badlands after refusing a mission.,Sngmoo Lee,26780,$5.66M,Rain
1506,Husbands and Wives,"Comedy, Drama, Romance",7.5,"When their best friends announce that they're separating, a professor and his wife discover the faults in their own marriage.",Woody Allen,30128,$10.56M,Rain
1507,The Weight of Water,"Crime, Drama, Mystery",5.8,A newspaper photographer researches an 1873 double homicide and finds her own life paralleling that of a witness who survived the tragic ordeal.,Kathryn Bigelow,9813,$0.10M,Rain
1508,Playing for Keeps,"Comedy, Romance, Sport",5.7,A former sports star who's fallen on hard times starts coaching his son's football team as a way to get his life together. His attempts to become an adult are met with challenges from the attractive football moms who pursue him at every turn.,Gabriele Muccino,30728,$13.10M,Rain
