,Title,Genre,Rating,Description,Director,Votes,Gross,Weather
124,The Revenant,"Action, Adventure, Drama",8.0,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Alejandro G. Iñárritu,826225,$183.64M,Rain
125,The Equalizer 2,"Action, Crime, Thriller",6.7,"Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?",Antoine Fuqua,168811,$102.08M,Rain
126,Brokeback Mountain,"Drama, Romance",7.7,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.,Ang Lee,366977,$83.04M,Rain
127,Guillermo del Toro's Pinocchio,"Animation, Drama, Family",7.6,"A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child.",Guillermo del Toro,97900,,Rain
128,A Bug's Life,"Animation, Adventure, Comedy",7.2,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",John Lasseter,301086,$162.80M,Rain
129,Unfaithful,"Drama, Romance, Thriller",6.7,A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.,Adrian Lyne,92601,$52.80M,Rain
130,The Wonder,"Drama, Mystery, Thriller",6.6,"A tale of two strangers who transform each other's lives, a psychological thriller, and a story of love pitted against evil.",Sebastián Lelio,36998,,Rain
131,World War Z,"Action, Adventure, Horror",7.0,Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself.,Marc Forster,686326,$202.36M,Rain
132,The Crow,"Action, Crime, Drama",7.5,A man brutally murdered comes back to life as an undead avenger of his and his fiancée's murder.,Alex Proyas,190038,$50.69M,Rain
133,Zodiac,"Crime, Drama, Mystery",7.7,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",David Fincher,560287,$33.08M,Rain
134,Into the Wild,"Adventure, Biography, Drama",8.1,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",Sean Penn,634219,$18.35M,Rain
135,Moonrise Kingdom,"Comedy, Drama, Family",7.8,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",Wes Anderson,356514,$45.51M,Rain
